DCS|DAQ||HV|ATT|Active|Dead|Coax|Return|Beam|Position
638|742005|1|6700|22|30|20|520|505|P2|0
638|742006|1|6800|22|30|20|520|505|P2|0
638|742007|1|6900|22|30|20|520|505|P2|0
638|742008|1|7000|22|30|20|520|505|P2|0
638|742009|1|7100|22|30|20|520|505|P2|0
638|742010|1|7200|22|30|20|520|505|P2|0
638|742011|1|7300|22|30|20|520|505|P2|0
638|742012|1|7500|22|30|20|520|505|P2|0
638|742013|1|7700|22|30|20|520|505|P2|0
639|742014|1|6700|46|30|20|520|505|P2|0
639|742015|1|6800|46|30|20|520|505|P2|0
639|742016|1|6900|46|30|20|520|505|P2|0
639|742017|1|7000|46|30|20|520|505|P2|0
639|742018|1|7100|46|30|20|520|505|P2|0
639|742019|1|7200|46|30|20|520|505|P2|0
639|742020|1|7300|46|30|20|520|505|P2|0
639|742021|1|7500|46|30|20|520|505|P2|0
639|742022|1|7700|46|30|20|520|505|P2|0
640|742023|1|6700|100|30|20|520|505|P2|0
640|742024|1|6800|100|30|20|520|505|P2|0
640|742025|1|6900|100|30|20|520|505|P2|0
640|742026|1|7000|100|30|20|520|505|P2|0
640|742027|1|7100|100|30|20|520|505|P2|0
640|742028|1|7200|100|30|20|520|505|P2|0
640|742029|1|7300|100|30|20|520|505|P2|0
640|742030|1|7500|100|30|20|520|505|P2|0
640|742031|1|7700|100|30|20|520|505|P2|0
641|742032|1|6700|220|30|20|520|505|P2|0
641|742033|1|6800|220|30|20|520|505|P2|0
641|742034|1|6900|220|30|20|520|505|P2|0
641|742035|1|7000|220|30|20|520|505|P2|0
641|742036|1|7100|220|30|20|520|505|P2|0
641|742037|1|7200|220|30|20|520|505|P2|0
641|742038|1|7300|220|30|20|520|505|P2|0
641|742039|1|7500|220|30|20|520|505|P2|0
641|742040|1|7700|220|30|20|520|505|P2|0
642|742041|1|6700|0|30|20|520|505|P2|0
642|742042|1|6800|0|30|20|520|505|P2|0
642|742043|1|6900|0|30|20|520|505|P2|0
642|742044|1|7000|0|30|20|520|505|P2|0
642|742045|1|7100|0|30|20|520|505|P2|0
642|742046|1|7200|0|30|20|520|505|P2|0
642|742047|1|7300|0|30|20|520|505|P2|0
642|742048|1|7500|0|30|20|520|505|P2|0
642|742049|1|7700|0|30|20|520|505|P2|0
667|742187|1|6700|46|30|20|520|505|P2|0
667|742188|1|6800|46|30|20|520|505|P2|0
667|742189|1|6900|46|30|20|520|505|P2|0
667|742190|1|7000|46|30|20|520|505|P2|0
667|742191|1|7100|46|30|20|520|505|P2|0
667|742192|1|7200|46|30|20|520|505|P2|0
667|742193|1|7300|46|30|20|520|505|P2|0
667|742194|1|7500|46|30|20|520|505|P2|0
667|742195|1|7700|46|30|20|520|505|P2|0
677|742279|1|7700|15|30|20|520|505|P2|0
682|742316|1|6700|22|30|20|520|505|P2|0
682|742317|1|6800|22|30|20|520|505|P2|0
682|742318|1|6900|22|30|20|520|505|P2|0
682|742320|1|7000|22|30|20|520|505|P2|0
682|742321|1|7100|22|30|20|520|505|P2|0
682|742325|1|7500|22|30|20|520|505|P2|0
682|742326|1|7700|22|30|20|520|505|P2|0
684|742327|1|6700|46|30|20|520|505|P2|0
684|742328|1|6800|46|30|20|520|505|P2|0
684|742329|1|6900|46|30|20|520|505|P2|0
684|742330|1|7000|46|30|20|520|505|P2|0
684|742331|1|7100|46|30|20|520|505|P2|0
684|742332|1|7200|46|30|20|520|505|P2|0
684|742333|1|7300|46|30|20|520|505|P2|0
684|742335|1|7500|46|30|20|520|505|P2|0
684|742336|1|7700|46|30|20|520|505|P2|0
688|742351|1|6700|220|30|20|510|500|P2|0
688|742352|1|6800|220|30|20|510|500|P2|0
688|742353|1|6900|220|30|20|510|500|P2|0
688|742354|1|7000|220|30|20|510|500|P2|0
688|742355|1|7100|220|30|20|510|500|P2|0
688|742356|1|7200|220|30|20|510|500|P2|0
688|742357|1|7300|220|30|20|510|500|P2|0
688|742358|1|7500|220|30|20|510|500|P2|0
688|742359|1|7700|220|30|20|510|500|P2|0
698|742400|1|6700|0|30|20|510|500|P2|0
698|742401|1|6800|0|30|20|510|500|P2|0
698|742402|1|6900|0|30|20|510|500|P2|0
698|742403|1|7000|0|30|20|510|500|P2|0
698|742404|1|7100|0|30|20|510|500|P2|0
698|742405|1|7200|0|30|20|510|500|P2|0
698|742406|1|7300|0|30|20|510|500|P2|0
698|742407|1|7500|0|30|20|510|500|P2|0
698|742408|1|7700|0|30|20|510|500|P2|0
699|742409|1|6700|0|30|20|510|500|P2|0
699|742410|1|6800|0|30|20|510|500|P2|0
699|742411|1|6900|0|30|20|510|500|P2|0
699|742412|1|7000|0|30|20|510|500|P2|0
699|742413|1|7100|0|30|20|510|500|P2|0
699|742414|1|7200|0|30|20|510|500|P2|0
699|742415|1|7300|0|30|20|510|500|P2|0
699|742416|1|7500|0|30|20|510|500|P2|0
699|742417|1|7700|0|30|20|510|500|P2|0
701|742420|1|6700|0|30|20|510|500|P2|0
701|742421|1|6800|0|30|20|510|500|P2|0
701|742422|1|6900|0|30|20|510|500|P2|0
701|742423|1|7000|0|30|20|510|500|P2|0
701|742424|1|7100|0|30|20|510|500|P2|0
701|742425|1|7200|0|30|20|510|500|P2|0
701|742426|1|7300|0|30|20|510|500|P2|0
701|742427|1|7500|0|30|20|510|500|P2|0
701|742428|1|7700|0|30|20|510|500|P2|0
702|742429|1|6700|22|30|20|510|500|P2|0
702|742430|1|6800|22|30|20|510|500|P2|0
702|742431|1|6900|22|30|20|510|500|P2|0
702|742432|1|7000|22|30|20|510|500|P2|0
702|742433|1|7100|22|30|20|510|500|P2|0
702|742434|1|7200|22|30|20|510|500|P2|0
702|742435|1|7300|22|30|20|510|500|P2|0
702|742436|1|7500|22|30|20|510|500|P2|0
702|742437|1|7700|22|30|20|510|500|P2|0
703|742438|1|6700|22|30|20|510|500|P2|0
703|742439|1|6800|22|30|20|510|500|P2|0
703|742440|1|6900|22|30|20|510|500|P2|0
703|742441|1|7000|22|30|20|510|500|P2|0
703|742442|1|7100|22|30|20|510|500|P2|0
703|742443|1|7200|22|30|20|510|500|P2|0
703|742444|1|7300|22|30|20|510|500|P2|0
703|742445|1|7500|22|30|20|510|500|P2|0
703|742446|1|7700|22|30|20|510|500|P2|0
704|742447|1|6700|22|30|20|510|500|P2|0
704|742448|1|6800|22|30|20|510|500|P2|0
704|742449|1|6900|22|30|20|510|500|P2|0
704|742450|1|7000|22|30|20|510|500|P2|0
704|742451|1|7100|22|30|20|510|500|P2|0
704|742452|1|7200|22|30|20|510|500|P2|0
704|742453|1|7300|22|30|20|510|500|P2|0
704|742454|1|7500|22|30|20|510|500|P2|0
704|742455|1|7700|22|30|20|510|500|P2|0
705|742456|1|6700|46|30|20|510|500|P2|0
705|742457|1|6800|46|30|20|510|500|P2|0
705|742458|1|6900|46|30|20|510|500|P2|0
705|742459|1|7000|46|30|20|510|500|P2|0
705|742460|1|7100|46|30|20|510|500|P2|0
705|742461|1|7200|46|30|20|510|500|P2|0
705|742462|1|7300|46|30|20|510|500|P2|0
705|742463|1|7500|46|30|20|510|500|P2|0
705|742464|1|7700|46|30|20|510|500|P2|0
714|742537|1|6700|4.6|30|20|510|500|P2|0
714|742538|1|6800|4.6|30|20|510|500|P2|0
714|742539|1|6900|4.6|30|20|510|500|P2|0
714|742540|1|7000|4.6|30|20|510|500|P2|0
714|742541|1|7100|4.6|30|20|510|500|P2|0
714|742542|1|7200|4.6|30|20|510|500|P2|0
714|742543|1|7300|4.6|30|20|510|500|P2|0
714|742544|1|7500|4.6|30|20|510|500|P2|0
714|742545|1|7700|4.6|30|20|510|500|P2|0
772|742699|1|6700|15|30|20|510|500|P2|0
772|742700|1|6800|15|30|20|510|500|P2|0
772|742701|1|6900|15|30|20|510|500|P2|0
772|742702|1|7000|15|30|20|510|500|P2|0
772|742703|1|7100|15|30|20|510|500|P2|0
772|742704|1|7200|15|30|20|510|500|P2|0
772|742705|1|7300|15|30|20|510|500|P2|0
772|742706|1|7500|15|30|20|510|500|P2|0
772|742707|1|7700|15|30|20|510|500|P2|0
793|742756|1|6700|22|30|20|510|500|P2|0
793|742757|1|6800|22|30|20|510|500|P2|0
793|742758|1|6900|22|30|20|510|500|P2|0
793|742759|1|7000|22|30|20|510|500|P2|0
793|742760|1|7100|22|30|20|510|500|P2|0
793|742761|1|7200|22|30|20|510|500|P2|0
793|742762|1|7300|22|30|20|510|500|P2|0
793|742763|1|7500|22|30|20|510|500|P2|0
793|742764|1|7700|22|30|20|510|500|P2|0
794|742765|1|6700|22|30|20|530|520|P2|0
794|742766|1|6800|22|30|20|530|520|P2|0
794|742767|1|6900|22|30|20|530|520|P2|0
794|742768|1|7000|22|30|20|530|520|P2|0
794|742769|1|7100|22|30|20|530|520|P2|0
794|742770|1|7200|22|30|20|530|520|P2|0
794|742771|1|7300|22|30|20|530|520|P2|0
794|742772|1|7500|22|30|20|530|520|P2|0
794|742773|1|7700|22|30|20|530|520|P2|0
795|742774|1|6700|22|30|20|550|540|P2|0
795|742775|1|6800|22|30|20|550|540|P2|0
795|742776|1|6900|22|30|20|550|540|P2|0
795|742777|1|7000|22|30|20|550|540|P2|0
795|742778|1|7100|22|30|20|550|540|P2|0
795|742779|1|7200|22|30|20|550|540|P2|0
795|742780|1|7300|22|30|20|550|540|P2|0
795|742781|1|7500|22|30|20|550|540|P2|0
795|742782|1|7700|22|30|20|550|540|P2|0
796|742783|1|6700|22|30|20|570|560|P2|0
796|742784|1|6800|22|30|20|570|560|P2|0
796|742785|1|6900|22|30|20|570|560|P2|0
796|742786|1|7000|22|30|20|570|560|P2|0
796|742787|1|7100|22|30|20|570|560|P2|0
796|742788|1|7200|22|30|20|570|560|P2|0
796|742789|1|7300|22|30|20|570|560|P2|0
796|742790|1|7500|22|30|20|570|560|P2|0
796|742791|1|7700|22|30|20|570|560|P2|0
797|742792|1|6700|22|30|20|590|580|P2|0
797|742793|1|6800|22|30|20|590|580|P2|0
797|742794|1|6900|22|30|20|590|580|P2|0
797|742795|1|7000|22|30|20|590|580|P2|0
797|742796|1|7100|22|30|20|590|580|P2|0
797|742797|1|7200|22|30|20|590|580|P2|0
797|742798|1|7300|22|30|20|590|580|P2|0
797|742799|1|7500|22|30|20|590|580|P2|0
797|742800|1|7700|22|30|20|590|580|P2|0
798|742801|1|6700|22|30|20|520|510|P2|0
798|742802|1|6800|22|30|20|520|510|P2|0
798|742803|1|6900|22|30|20|520|510|P2|0
798|742804|1|7000|22|30|20|520|510|P2|0
798|742805|1|7100|22|30|20|520|510|P2|0
798|742806|1|7200|22|30|20|520|510|P2|0
798|742807|1|7300|22|30|20|520|510|P2|0
798|742808|1|7500|22|30|20|520|510|P2|0
798|742809|1|7700|22|30|20|520|510|P2|0
799|742810|1|6700|0|30|20|510|500|P2P|0
799|742811|1|6800|0|30|20|510|500|P2P|0
799|742812|1|6900|0|30|20|510|500|P2P|0
799|742813|1|7000|0|30|20|510|500|P2P|0
799|742814|1|7100|0|30|20|510|500|P2P|0
799|742815|1|7200|0|30|20|510|500|P2P|0
799|742816|1|7300|0|30|20|510|500|P2P|0
799|742817|1|7500|0|30|20|510|500|P2P|0
799|742818|1|7700|0|30|20|510|500|P2P|0
800|742819|1|6700|0|30|20|520|510|P2P|0
800|742820|1|6800|0|30|20|520|510|P2P|0
800|742821|1|6900|0|30|20|520|510|P2P|0
800|742822|1|7000|0|30|20|520|510|P2P|0
800|742823|1|7100|0|30|20|520|510|P2P|0
800|742824|1|7200|0|30|20|520|510|P2P|0
800|742825|1|7300|0|30|20|520|510|P2P|0
800|742826|1|7500|0|30|20|520|510|P2P|0
800|742827|1|7700|0|30|20|520|510|P2P|0
801|742828|1|6700|4.6|30|20|510|500|P2P|0
801|742829|1|6800|4.6|30|20|510|500|P2P|0
801|742830|1|6900|4.6|30|20|510|500|P2P|0
801|742831|1|7000|4.6|30|20|510|500|P2P|0
801|742832|1|7100|4.6|30|20|510|500|P2P|0
801|742833|1|7200|4.6|30|20|510|500|P2P|0
801|742834|1|7300|4.6|30|20|510|500|P2P|0
801|742835|1|7500|4.6|30|20|510|500|P2P|0
801|742836|1|7700|4.6|30|20|510|500|P2P|0
802|742837|1|6700|4.6|30|20|520|510|P2P|0
802|742838|1|6800|4.6|30|20|520|510|P2P|0
802|742839|1|6900|4.6|30|20|520|510|P2P|0
802|742840|1|7000|4.6|30|20|520|510|P2P|0
802|742841|1|7100|4.6|30|20|520|510|P2P|0
802|742842|1|7200|4.6|30|20|520|510|P2P|0
802|742843|1|7300|4.6|30|20|520|510|P2P|0
802|742844|1|7500|4.6|30|20|520|510|P2P|0
802|742845|1|7700|4.6|30|20|520|510|P2P|0
807|742892|1|6700|4.6|30|10|510|500|P2P|0
807|742893|1|6800|4.6|30|10|510|500|P2P|0
807|742894|1|6900|4.6|30|10|510|500|P2P|0
807|742895|1|7000|4.6|30|10|510|500|P2P|0
807|742896|1|7100|4.6|30|10|510|500|P2P|0
807|742897|1|7200|4.6|30|10|510|500|P2P|0
807|742898|1|7300|4.6|30|10|510|500|P2P|0
807|742899|1|7500|4.6|30|10|510|500|P2P|0
807|742900|1|7700|4.6|30|10|510|500|P2P|0
808|742901|1|6700|4.6|30|20|510|500|P2P|0
808|742902|1|6800|4.6|30|20|510|500|P2P|0
808|742903|1|6900|4.6|30|20|510|500|P2P|0
808|742904|1|7000|4.6|30|20|510|500|P2P|0
808|742905|1|7100|4.6|30|20|510|500|P2P|0
808|742906|1|7200|4.6|30|20|510|500|P2P|0
808|742907|1|7300|4.6|30|20|510|500|P2P|0
808|742908|1|7500|4.6|30|20|510|500|P2P|0
808|742909|1|7700|4.6|30|20|510|500|P2P|0
809|742910|1|6700|4.6|30|10|520|510|P2P|0
809|742911|1|6800|4.6|30|10|520|510|P2P|0
809|742912|1|6900|4.6|30|10|520|510|P2P|0
809|742913|1|7000|4.6|30|10|520|510|P2P|0
809|742914|1|7100|4.6|30|10|520|510|P2P|0
809|742915|1|7200|4.6|30|10|520|510|P2P|0
809|742916|1|7300|4.6|30|10|520|510|P2P|0
809|742917|1|7500|4.6|30|10|520|510|P2P|0
809|742918|1|7700|4.6|30|10|520|510|P2P|0
809|742919|1|7900|4.6|30|10|520|510|P2P|0
810|742920|1|6700|4.6|30|20|520|510|P2P|0
810|742921|1|6800|4.6|30|20|520|510|P2P|0
810|742922|1|6900|4.6|30|20|520|510|P2P|0
810|742923|1|7000|4.6|30|20|520|510|P2P|0
810|742924|1|7100|4.6|30|20|520|510|P2P|0
810|742925|1|7200|4.6|30|20|520|510|P2P|0
810|742926|1|7300|4.6|30|20|520|510|P2P|0
810|742927|1|7500|4.6|30|20|520|510|P2P|0
810|742928|1|7700|4.6|30|20|520|510|P2P|0
810|742929|1|7900|4.6|30|20|520|510|P2P|0
811|742930|1|6700|4.6|30|10|530|520|P2P|0
811|742931|1|6800|4.6|30|10|530|520|P2P|0
811|742932|1|6900|4.6|30|10|530|520|P2P|0
811|742933|1|7000|4.6|30|10|530|520|P2P|0
811|742934|1|7100|4.6|30|10|530|520|P2P|0
811|742935|1|7200|4.6|30|10|530|520|P2P|0
811|742936|1|7300|4.6|30|10|530|520|P2P|0
811|742937|1|7500|4.6|30|10|530|520|P2P|0
811|742938|1|7700|4.6|30|10|530|520|P2P|0
811|742939|1|7900|4.6|30|10|530|520|P2P|0
812|742940|1|6700|4.6|30|20|530|520|P2P|0
812|742941|1|6800|4.6|30|20|530|520|P2P|0
812|742942|1|6900|4.6|30|20|530|520|P2P|0
812|742943|1|7000|4.6|30|20|530|520|P2P|0
812|742944|1|7100|4.6|30|20|530|520|P2P|0
812|742945|1|7200|4.6|30|20|530|520|P2P|0
812|742946|1|7300|4.6|30|20|530|520|P2P|0
812|742947|1|7500|4.6|30|20|530|520|P2P|0
812|742948|1|7700|4.6|30|20|530|520|P2P|0
812|742949|1|7900|4.6|30|20|530|520|P2P|0
813|742950|1|6700|4.6|30|10|550|540|P2P|0
813|742951|1|6800|4.6|30|10|550|540|P2P|0
813|742952|1|6900|4.6|30|10|550|540|P2P|0
813|742953|1|7000|4.6|30|10|550|540|P2P|0
813|742954|1|7100|4.6|30|10|550|540|P2P|0
813|742955|1|7200|4.6|30|10|550|540|P2P|0
813|742956|1|7300|4.6|30|10|550|540|P2P|0
813|742957|1|7500|4.6|30|10|550|540|P2P|0
