Net	Length
GND	0.00
/S9R	2023.84
/S9D	31.17
/S8R	2034.22
/S8D	31.52
/S7R	2044.60
/S7D	35.71
/S6R	2054.98
/S6D	39.90
/S5R	2065.36
/S5D	49.05
/S4R	2075.74
/S4D	59.17
/S48R	1506.61
/S48D	342.07
/S47R	1521.75
/S47D	328.53
/S46R	1535.53
/S46D	314.55
/S45R	1549.23
/S45D	301.52
/S44R	1562.87
/S44D	286.52
/S43R	1576.42
/S43D	276.41
/S42R	1589.90
/S42D	266.29
/S41R	1602.64
/S41D	256.18
/S40R	1616.72
/S40D	246.06
/S3R	2086.12
/S3D	69.28
/S39R	1627.10
/S39D	235.95
/S38R	1637.48
/S38D	225.83
/S37R	1647.86
/S37D	215.71
/S36R	1658.24
/S36D	205.60
/S35R	1668.62
/S35D	195.48
/S34R	1678.99
/S34D	185.37
/S33R	1689.38
/S33D	175.25
/S32R	1742.44
/S32D	207.82
/S31R	1752.82
/S31D	197.87
/S30R	1763.19
/S30D	187.59
/S2R	2096.50
/S2D	79.40
/S29R	1773.57
/S29D	177.47
/S28R	1783.95
/S28D	167.36
/S27R	1794.33
/S27D	157.23
/S26R	1804.71
/S26D	147.13
/S25R	1815.09
/S25D	137.01
/S24R	1825.47
/S24D	126.89
/S23R	1835.85
/S23D	116.78
/S22R	1846.23
/S22D	106.66
/S21R	1856.62
/S21D	96.55
/S20R	1866.99
/S20D	86.43
/S1R	2106.88
/S1D	89.51
/S19R	1877.37
/S19D	76.32
/S18R	1887.75
/S18D	66.20
/S17R	1898.13
/S17D	56.09
/S16R	1951.19
/S16D	88.65
/S15R	1961.57
/S15D	78.54
/S14R	1971.95
/S14D	68.42
/S13R	1982.33
/S13D	58.30
/S12R	1992.70
/S12D	48.19
/S11R	2003.09
/S11D	39.55
/S10R	2013.47
/S10D	35.36